family,date,ff_to_iem_beta,iem_to_ff_beta,ff_to_iem_change,iem_to_ff_change,ff_to_iem_pct_change,iem_to_ff_pct_change
51:0602,2002-05-20,0.7455230904195916,0.020112715558535256,0.0009875081575229094,1.6416624921515577e-05,0.1326341119282217,0.08168979261179571
51:0602,2002-05-21,0.7470233640068631,0.020139136943677145,0.0024877817447943595,4.2838010063404874e-05,0.33413873078247136,0.21316367857044854
51:0602,2002-05-22,0.7448957583451595,0.020099339616757424,0.00036017608309080185,3.040683143683276e-06,0.048375939534884935,0.015130562864972753
51:0602,2002-05-23,0.7440377171971337,0.020109303666054165,-0.0004978650649349881,1.3004732440424771e-05,-0.06686921039050418,0.06471207700176385
51:0602,2002-05-24,0.7443077010008202,0.020095450473457302,-0.00022788126124850816,-8.484601564384686e-07,-0.030607168640100848,-0.0042219722111085135
51:0602,2002-05-28,0.7445737802855856,0.020095412499372776,3.819802351689994e-05,-8.864342409646564e-07,0.0051304496960166285,-0.004410932798585997
51:0602,2002-05-29,0.7431850221333869,0.02004968938383098,-0.0013505601286818436,-4.660954978276052e-05,-0.18139631749748403,-0.23193101345044104
51:0602,2002-05-30,0.7359425061826805,0.02005097455249575,-0.008593076079388196,-4.53243811179907e-05,-1.154152505818523,-0.22553596195854564
51:0602,2002-05-31,0.7404028983818743,0.02013812097359557,-0.004132683880194388,4.182203998183073e-05,-0.5550686869307646,0.2081081701659891
51:0602,2002-06-03,0.7430868446654728,0.020094126489982087,-0.001448737596595917,-2.1724436316539197e-06,-0.1945827212440703,-0.010810167776814953
51:0602,2002-06-04,0.7432946282049894,0.02017069034602141,-0.0012409540570793576,7.439141240767055e-05,-0.16667491610126361,0.37017469064037956
51:0602,2002-06-05,0.7441998217312674,0.020095490066426133,-0.0003357605308013101,-8.088671876078923e-07,-0.045096639945829464,-0.00402495598955763
51:0602,2002-06-06,0.7444475771557293,0.020093603162762607,-8.800510633943937e-05,-2.6957708511334e-06,-0.011820134381228604,-0.013414265283566039
51:0602,2002-06-07,0.7447760575915497,0.020097712827979,0.0002404753294810158,1.4138943652611258e-06,0.03229870206476861,0.007035595807625049
51:0602,2002-06-10,0.7444771734009753,0.020106790994016417,-5.840886109342858e-05,1.049206040267675e-05,-0.007845005999037568,0.05220891885285096
51:0602,2002-06-11,0.7441988848756961,0.020100291182980998,-0.000336697386372653,3.992249367257283e-06,-0.04522247081189722,0.019865595055314957
51:0602,2002-06-12,0.7442559970551311,0.020095450473457253,-0.0002795852069376048,-8.484601564870409e-07,-0.03755162460982204,-0.004221972211350211
51:0602,2002-06-13,0.7442891100541814,0.020094483133187804,-0.00024647220788731605,-1.8158004259360983e-06,-0.03310415428883564,-0.00903549669486121
51:0602,2002-06-14,0.7443811787308803,0.020094494082304157,-0.00015440353118845174,-1.8048513095829388e-06,-0.02073823399001813,-0.008981013447028717
51:0602,2002-06-17,0.7444050049265618,0.020096453903630015,-0.00013057733550692063,1.54970016274375e-07,-0.017538092015723,0.000771137097364565
51:0602,2002-06-18,0.7442536725398678,0.020097741178672683,-0.0002819097222008793,1.4422450589426927e-06,-0.037863834706781015,0.007176670011264341
51:0602,2002-06-19,0.7444698776794156,0.0200954504734573,-6.57045826530922e-05,-8.484601564419381e-07,-0.008824908334597885,-0.0042219722111257775
51:0602,2002-06-20,0.7439441284720442,0.020071391602981162,-0.0005914537900245653,-2.4907330632577968e-05,-0.07943929129989918,-0.12393988920475867
51:0602,2002-06-21,0.7492056117465038,0.020059269782017677,0.004670029484435068,-3.7029151596063015e-05,0.6272406041691727,-0.1842585628248534
51:0602,2002-06-24,0.7443630976975766,0.020095450473457236,-0.000172484564492148,-8.484601565043881e-07,-0.023166732202119955,-0.0042219722114365315
51:0602,2002-06-25,0.7473733186014075,0.02009651305698905,0.0028377363393388144,2.1412337530835046e-07,0.3811418026143391,0.0010654866153000967
51:0802,2002-07-03,0.751400968665442,0.02025139490284249,0.006865386403373308,0.00015509596922875027,0.9221031965342341,0.7717638443829653
51:0802,2002-07-05,0.7353483948936069,0.01949418029017472,-0.009187187368461802,-0.0006021186434390195,-1.2339487309053832,-2.9961668336446556
51:0802,2002-07-08,0.7411711515187435,0.020214854026877973,-0.003364430743325264,0.0001185550932642325,-0.4518831367472535,0.5899349609391672
51:0802,2002-07-09,0.7406121046863057,0.020085722084769185,-0.003923477575763057,-1.0576848844555398e-05,-0.526969787507353,-0.052630829584566975
51:0802,2002-07-10,0.7439382464732174,0.02075261074849221,-0.0005973357888513497,0.00065631181487847,-0.08022931382762225,3.265834256578961
51:0802,2002-07-11,0.7627482174670382,0.019456359628839986,0.01821263520496952,-0.0006399393047737539,2.4461739155078908,-3.184363981087931
51:0802,2002-07-12,0.7422311714016357,0.020397618682651098,-0.0023044108604329816,0.0003013197490373577,-0.3095098361090623,1.4993793137370197
51:0802,2002-07-15,0.739792903187544,0.01969663362931166,-0.004742679074524747,-0.0003996653043020805,-0.6369983097537673,-1.9887507924834207
51:0802,2002-07-16,0.7222803716576713,0.017786326213817986,-0.02225521060439739,-0.0023099727197957547,-2.9891399598097097,-11.494518107172548
51:0802,2002-07-17,0.7304158244146248,0.020036056058159567,-0.014119757847443903,-6.024287545417298e-05,-1.8964517188748538,-0.2997709959091459
51:0802,2002-07-18,0.7470486197396674,0.020059521378626214,0.0025130374775986786,-3.677755498752641e-05,0.3375308766256004,-0.18300660787848377
51:0802,2002-07-19,0.7441421628228541,0.020170984349122453,-0.0003934194392146706,7.468541550871219e-05,-0.0528409183640858,0.37163766201641674
51:0802,2002-07-22,0.7485273145484292,0.019940561808089785,0.0039917322863605165,-0.00015573712552395536,0.5361372084102044,-0.7749542641578855
51:0802,2002-07-23,0.7484816298402989,0.020163107979154316,0.0039460475782301385,6.680904554057579e-05,0.5300012077651342,0.3324445250405225
51:0802,2002-07-24,0.7174484880511057,0.020042472678202573,-0.027087094210963003,-5.3826255411167784e-05,-3.6381195011078233,-0.2678416338698873
51:0802,2002-07-25,0.7538956905215664,0.0210869018351259,0.009360108259497624,0.0009906029015121602,1.2571740669612435,4.929280285810462
51:0802,2002-07-26,0.7322584024435558,0.020166318885173975,-0.012277179818512951,7.001995156023441e-05,-1.6489715348744087,0.34842212385245075
51:0802,2002-07-29,0.787690794194519,0.015283323290039555,0.04315521193245031,-0.004812975643574186,5.796259166195247,-23.949562352119685
51:0802,2002-07-30,0.8361826423401509,0.020003072445474567,0.09164706007808221,-9.322648813917325e-05,12.309292162993414,-0.4638987927435709
51:0802,2002-07-31,0.7463154173747665,0.020082033503216152,0.0017798351126977474,-1.4265430397588513e-05,0.2390530627549328,-0.0709853612583742
51:0802,2002-08-01,0.7508662303261424,0.0200984799461035,0.006330648064073685,2.1810124897596317e-06,0.8502814660435347,0.010852806762899
51:0802,2002-08-02,0.7257480719498202,0.021505507625319446,-0.018787510312248568,0.0014092086917057052,-2.5233864921764826,7.012279705635825
51:0802,2002-08-05,0.7509273609027144,0.019825208517578102,0.006391778640645662,-0.0002710904160356381,0.8584920308611689,-1.3489569245121211
51:0902,2002-08-16,0.7451778695222818,0.020058338462514418,0.0006422872602130925,-3.796047109932282e-05,0.08626683203799038,-0.1888928465122942
51:0902,2002-08-19,0.7184927453383014,0.02006482685809532,-0.0260428369237673,-3.1472075518419046e-05,-3.4978633048864136,-0.15660632648023465
51:0902,2002-08-20,0.7782359379609447,0.02094861771885181,0.03370035569887597,0.0008523187852380702,4.5263593173729335,4.241172904790211
51:0902,2002-08-21,0.76265900642802,0.017946070976043418,0.018123424165951252,-0.0021502279575703227,2.4341918099989472,-10.699621679959087
51:0902,2002-08-27,0.7376026021833101,0.02026492085984496,-0.006932980078758644,0.00016862192623122094,-0.93118183253172,0.8390695559826604
51:0902,2002-08-28,0.7519050441854155,0.020104727318383017,0.007369461923346754,8.428384769276764e-06,0.9898065450353158,0.041939985054557316
